"","X16058","X16199","X16208","X16061","X16192","X16200","X16216","X16062","X16193","X16202","X16057","X16063","X16194","X16203","X16053","X16064","X16195","X16204","X16198","X16054","X16196","X16205","X16207","X16055","X16197","X16206","X16052","X16201","X16059","X16209","X16060","X16210","X16211","X16212","X16218","X16213","X16214","X16857","X16817","X16859","X16835","X16860","X16839","X17063","X16842","X17065","X16844","X17069","X16848","X16852","X17131","X16846","X16841","X16847","X16853","X17134","X16849","X16843","X16850","X17067","X17136","X16851","X17138","X16855","X17070","X17137","X16854","X17140","X16858","X17072","X16832","X16861","X17145","X18003","X17064","X17132","X16836","X17062","X16833","X17146","X17066","X17073","X16837","X16834","X17143","X17075","X16840","X16838","X16845","X17147","X18018","X17165","X18016","X17156","X17076","X17164","X17133","X17166","X17139","X18004","X18006","X17142","X18007","X17135","X18008","X17150","X18010","X17157","X17141","X18012","X18014","X17155","X18011","X17144","X18015","X17152","X18939","X18936","X18941","X18943","X25998","X18950","X18948","X26007","X16591","X25992","X25993","X26004","X26003","X26018","X18942","X18940","X25996","X18937","X18945","X26008","X26011","X18949","X26017","X26010","X26020","X16589","X26000","X26012","X18944","X26001","X26009","X26006","X26002","X26021","X26013","X26015","X26019","X25994","X26014","X16787","X16588","X25995","X26016","X18938","X26005","X16785"
"Abiotrophia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57636171537783e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acaryochloris",1.7330021373693e-06,1.88316824225076e-06,8.54019329603816e-06,1.23945543616478e-06,4.34904694417998e-06,2.38788248826172e-06,1.00998132891233e-05,2.10301520358239e-06,9.50888104898041e-06,3.1988126007626e-06,6.92204745488083e-07,3.34974054863726e-06,3.14420376041053e-06,2.10808463695081e-06,4.09997955665366e-06,2.54869385811506e-06,1.40877551627044e-06,1.06840471353704e-06,1.50111109026235e-06,3.64644550569514e-06,8.18197921804552e-07,1.6107298539114e-06,2.18725051673793e-06,0,4.56270804774471e-06,3.1081155783859e-06,1.40162027303563e-06,3.93638748617498e-06,3.43035717450627e-06,4.90580602142636e-06,3.10189441151423e-06,1.44064421418293e-05,1.88242631889259e-06,1.74891231107423e-05,2.24845580552188e-05,1.08595758728983e-06,1.36146392199762e-05,0,1.19272556676828e-05,0,0,0,3.14986052023884e-06,1.5815602724712e-06,1.56253644755776e-06,0,1.84414030286484e-06,1.41012260853375e-06,1.01513412713438e-06,1.23918946599732e-06,1.19793678642605e-06,1.37749534429532e-06,4.18093301178474e-06,2.52098056059885e-06,8.19941367632683e-07,5.32245155054943e-06,3.15647555076381e-06,1.23242485135416e-06,1.88419516681957e-06,1.46209370243626e-06,4.291779051244e-06,0,2.32135190118237e-06,0,1.66124510582984e-06,3.30066740465707e-06,0,4.04389240819859e-06,1.45588380882499e-06,3.47390489490569e-06,1.91540547857044e-06,0,4.98960745679303e-06,1.55174894298187e-06,0,1.29190501545211e-06,1.11761322519627e-06,0,6.30869819042272e-06,3.60564147318434e-06,0,2.02658758194429e-06,4.30437941648894e-06,4.38637889638382e-06,1.53599896522175e-06,5.56313024305157e-06,2.40796168451368e-06,6.31750837469702e-06,0,1.0805341555766e-06,3.07780583222221e-06,6.42237675426572e-06,4.99721625659118e-06,3.38511588991265e-06,3.92235309807059e-06,1.35430589808053e-05,0,1.4256832283535e-05,9.44391390381931e-06,4.07961382701883e-06,3.44884596225281e-06,1.88084311699477e-06,2.94448825573539e-06,8.01236993374207e-06,9.57469862961789e-06,8.92638561719974e-06,5.2625103026169e-06,8.85697059592473e-06,4.78347553690748e-06,4.9258371750034e-06,2.51307325024843e-06,1.33789582041346e-05,3.61198716554725e-06,1.69009864161304e-06,2.72296244909108e-06,4.25930372041213e-06,0,1.30472457543796e-06,0,0,5.94449259783676e-07,4.03526951000538e-05,0,2.84361658550748e-06,0,0,0,1.61040011257936e-06,2.64626115514132e-06,0.000105401609824024,0,0,8.91350106044826e-05,0,0,2.96005095497493e-06,3.16556355873092e-06,0,6.41159330052616e-06,2.45791078129792e-06,6.24196614066844e-06,9.11068404396209e-06,4.23308793181906e-06,2.0739044747748e-06,0,3.57148086811271e-07,9.86380647842973e-07,4.10438434440053e-06,1.1965789806942e-06,6.32036184404208e-06,4.30275101026063e-06,2.84024048805909e-06,6.40388536532885e-06,0,2.87790549875008e-06,0,1.13004804823045e-05,0,8.60723733735811e-06,2.00538059038405e-06,0,7.810791944006e-07
"Acetivibrio",0,0,0,0,0,1.9018469469651e-05,0,0,2.28240477949066e-05,0,0,9.57864881467992e-06,2.55336867893942e-05,0,0,0,0,2.54989883304966e-05,0,0,1.45374097976641e-05,0,1.12430077140486e-05,0,6.02893695012631e-06,0,0,7.70301928537848e-05,0,1.08231702054546e-05,0,0,1.89787232696544e-05,0,0,2.98415430827219e-05,0,0,0,8.87882559351073e-06,0,1.05829866860801e-05,2.13683114184093e-05,0,0,0,0,1.74288052930811e-05,0,0,1.70253708584148e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.90678628476724e-05,0,0,0,0,0,0,0,0,0,0,0,0,1.30196017162659e-05,3.99797637563344e-06,0,0,1.39628101287107e-05,1.24591070948174e-05,0,0,0,0,1.45641081890226e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94735781178594e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000120016971413986,1.2928760742568e-05,0,0,0,1.39713261815667e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acetoanaerobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36477179015226e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.01686477265777e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acetobacter",4.5932971686455e-05,4.58684984326464e-05,4.26144735977872e-05,7.54609848238989e-05,0.000140264518982572,0.000251466306993646,9.81176492053867e-05,9.6848712700533e-05,0.000105889063485788,2.9923674942269e-05,2.47777776020489e-05,9.91094546736637e-05,0.000108147242326742,0.000120707365278426,2.73889198965209e-05,7.75562473130669e-05,8.50083973674163e-05,3.68541729000485e-05,8.18232234511419e-05,5.95782954179326e-05,6.67459615091886e-05,3.58314377655483e-05,7.41472560835162e-05,7.28734138024167e-05,0.000143454252697624,4.88320580734073e-05,8.53637784730096e-05,0.000101776474643786,0.000102879805101703,0.000151661657543915,0.000145181293773176,5.35095791983085e-05,0.00012746400889161,0.000134457622637074,7.02626305924505e-05,0.000147335441453089,0.0001219024808576,8.19975964397538e-05,4.90741478193782e-05,0.000170725487575675,1.88980853413149e-05,0.000190082212305187,7.37308648104452e-05,0.000135470688797005,0.000120636086468459,3.38081518409833e-05,0.000167157538696826,9.78292816411082e-05,0.000207803172825518,5.96352202793558e-05,0.000157097347881598,4.38972335850216e-05,0.000257811350120847,0.000186165537733964,3.15875418734851e-05,0.000200784219238799,0.000104055439182027,0.000147294993399206,5.03410541546485e-05,0.000114054112209258,7.09934026912235e-05,0.00013302380364028,0.000170799239708338,5.43502584091093e-05,0.00028088992967135,9.13670224670712e-05,0.000108844096904862,0.000208439627843654,5.02698069451329e-05,0.000325452554854517,4.06445674820734e-05,0.000149014675855321,0.000316221958566757,0.000297874789510029,6.77611605832795e-05,7.21950474551777e-05,5.56329845647443e-05,0.000117709108366475,8.34217393904861e-05,0.000187079688192021,7.70983233277008e-05,9.72935428925234e-05,0.000139660327253514,3.36100078538258e-05,0.000172782811632999,0.000218461562468304,0.000147442827719399,5.80939049334047e-05,3.08394949598857e-05,7.7857536486667e-05,0.000560334648174249,7.4229428431266e-05,0.000449207616660134,0.000131704150993901,0.000181603581926257,0.000194442667486471,0.00163446721713029,8.06346078348357e-05,0.000440400932089061,0.000479262158467581,0.000687403426849405,0.000893037946549842,0.00021733351900527,0.00026099525754916,0.00118071699970227,0.000157262135676794,0.000511973712371093,0.000117913305588791,0.000240052720491668,0.00118785150797878,0.000484108558826004,0.000283608179710671,0.000161859512942868,8.93167676621812e-05,0.00192988151873713,3.47007904401317e-05,6.43124538516562e-06,8.94297268799268e-06,7.14957088373495e-06,0.000117063024478211,0.000424946056256541,4.98836953116681e-05,6.9719257731114e-05,0.000155099094619629,1.22770045013172e-05,0.00014353149830135,2.61470776976997e-05,0.00113735243114482,0.000236809010302364,0.000103402460863035,3.27462033235827e-05,1.15067867567672e-05,0.000131878058407933,5.02976733544294e-05,1.24904622462921e-05,0.000117429172421299,0.000126845022279232,5.62335551689704e-05,8.27563776068259e-05,3.57177648671851e-05,0.000176140523849176,0.000121194763128551,7.59890973784595e-05,0.000125402822991441,2.25134624133497e-05,0.000219487225434935,5.09781677601959e-05,0.000176273330885093,0.000151935229403964,7.84788173330866e-05,6.57331183239083e-05,0.000122108916779266,0.000269740486082831,8.81676231578905e-05,9.91266861249502e-05,3.01815565460339e-05,0.000104806316819409,0.000241154109367791,0.000132957355029678,6.62677442459859e-06,9.16773590843685e-06,7.37283641566263e-06
"Acetobacterium",2.34380467133664e-06,0,0,0,0,0,0,0,0,0,1.5578885985021e-06,0,0,0,0,0,0,0,0,0,0,0,0,2.90654766839273e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.39137327233949e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19863475128462e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13506253575447e-06,0,0,0,0,0,0,0,0,0,1.89074952147155e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acholeplasma",0,0,3.45078958379164e-06,0,0,0,0,0,0,8.56852738796443e-06,0,0,1.64283129083068e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9234422632938e-06,0,5.58403524323958e-06,0,2.10919167169639e-06,0,5.63541912148939e-06,0,1.38565820310189e-06,0,0,0,0,0,1.29595230895503e-05,0,6.93200854947721e-06,0,3.50597408995251e-06,3.3878448588504e-06,5.48358092961824e-06,9.73521322137471e-06,0,0,0,0,0,1.14449468745106e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.26125282695377e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achromobacter",0.000305324382119869,0.000474778243050065,0.00054013289307407,0.0010069587052188,0.000375510683584501,0.000311109410180461,0.000243816494104914,0.000470401608143933,0.000570526375270682,0.000237156849265137,0.000199733449245791,0.000652597624389613,0.000685221680375144,0.000367054301970166,0.000500909617676228,0.000877200640276963,0.000610752308477812,0.000525553175177839,0.000404452780158127,0.000881040883920996,0.00118351316793847,0.000264455698672444,0.000453489982671381,0.000633949389076794,0.000952580905072774,0.000216414634871015,0.00200755814261115,0.000162344516220394,0.0013011005562457,0.00112888671801986,0.000641069355251381,0.000875733506437566,0.00122088188178291,0.000917913111079236,0.000375816433449236,0.00027409013786751,0.000770070281470561,0.00144222658807357,0.000433828246358884,0.0018663742863877,5.53816560418254e-05,0.00144742107425449,0.000206575276890153,0.000970486508518318,0.000313566688127772,0.000121394370763986,0.000713154995362315,0.00026499752524821,0.000499768338733177,0.00186109155194008,0.000527610094799373,0.000754130804603143,0.00183785123981271,0.000813830211146259,0.000261990001039205,0.00110729468005122,0.00069282860956657,0.00183086253857899,0.000472065003628559,0.000507804063787672,0.000850656881921723,0.00117868900547635,0.000581947344465425,0.00922041406502834,0.000598056045222095,0.00162186469842756,0.00105980235796982,0.00097093705904909,0.00253156038702221,0.00053432208682803,0.000203360169307438,0.0027174038804188,0.000543204432405689,0.00108512209307671,0.000584949183127572,0.000398661447257008,0.00027609140177531,0.00106875210600062,0.000939287752803354,0.000180502643074416,0.000273917905905994,0.00224591911325597,0.000147378644455502,0.00020424748274957,0.00043508405803753,0.000479119188537416,0.00136249065032737,0.001024177420721,0.000204118112226163,0.000423767526256652,0.00227817686523259,0.00360753350680401,0.00346801876284688,0.000880593469246717,0.00409644353659214,0.00964980740362246,0.00282036470067202,0.00713082579019832,0.000584688602078234,0.0017307755710605,0.00274197955380669,0.00225765105101729,0.00236411002706448,0.0018953701234813,0.00331712397006932,0.000598590706355607,0.00100808084434581,0.00181611766745283,0.00060035236043475,0.00157944564531731,0.00360260962284995,0.00369751761466043,0.00506778816467966,0.000451070294772352,0.00254717107573374,0.00149166631890381,9.85928495774485e-05,9.38058386349356e-05,0.000257265914227348,0.000339467092315408,0.00130963140699825,0.000365980609354939,0.000950859193227371,0.000788015569888653,0.00164348412230595,0.000358223958054357,0.000935503155472588,0.00112632184017938,0.0016672022430992,0.000751455729263762,0.000425227961940299,0.000105674907287307,0.000934238654071542,0.000903053144525094,0.00100238644507151,0.00148498362440638,0.00118849605238862,0.000169962751901168,0.000793961717382702,0.000904388882474783,0.000552803073196685,0.000417262522210177,0.00209628457700199,0.000482370403088429,0.000158056383594823,0.00126471676899687,0.000489815211908676,0.000552008300970611,0.00113656050842236,0.000758695102046892,0.000654231217234118,0.00194966906280988,0.000972331707702679,0.00101773644224826,0.00104337307362634,0.00149009842027524,0.000305329423931359,0.00106081156887046,0.00077600859596609,0.00038319110046483,1.98912242934889e-05,0.000287158064205165
"Acidaminococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55452073188435e-06,0,1.52694324762315e-06,0,0,1.49571282681901e-06,0,7.69781459043778e-07,0,0,0,3.70427077725479e-06,0,0,0,9.79548976469275e-07,0,0,0,0,0,2.44165982532366e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0893398652084e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82583921322161e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidianus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52098056059885e-06,8.19941367632683e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27465091744939e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
